area_type,availability,location,size,society,total_sqft,bath,balcony,price,latitude,longitude
Plot  Area,Ready To Move,Sarjapur  Road,4 BHK,Prrry M,2570,2,0,360,12.9239386,77.6396966
Super built-up  Area,18-Nov,Sarjapur  Road,2 BHK,AsastDe,1442,3,1,45.91,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Hebbal,2 BHK,PuineSu,1224,2,0,99,13.0382184,77.5919
Super built-up  Area,19-Jun,Old Madras Road,4 BHK,Raard B,1233,1,3,204,13.0082277,77.6941931
Super built-up  Area,Ready To Move,Varthur Road,4 BHK,Brglede,1449,2,1,125,12.9557741,77.7204044
Built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,VRdelit,1090,1,1,59,13.0195427,77.6831272
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,DLhtsnd,1200,3,0,67,12.8856913,77.5526564
Super built-up  Area,18-Apr,Gubbalala,1 BHK,PrarePa,1000,2,2,27,12.8856635,77.5416809
Built-up  Area,Ready To Move,Shikaripalya,5 BHK,MauilTr,2400,3,1,141,12.8359685,77.6571728
Super built-up  Area,Ready To Move,Ardendale,3 BHK,ALtonea,1732,4,1,56.24,13.0261316,77.7664705
Super built-up  Area,Ready To Move,Richmond Town,2 BHK,AWharde,1290,2,2,70,12.963555,77.6015856
Super built-up  Area,Ready To Move,Electronic City,2 BHK,APusenc,1917,2,2,100,12.8487599,77.648253
Super built-up  Area,Ready To Move,Yelenahalli,3 BHK,Goty  E,1100,2,2,90,12.8669074,77.6159019
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,Nisisn ,2774,2,2,54,12.9096941,77.5866067
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Srncyya,1425,3,1,78,12.9140788,77.6188862
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Vincyat,1655,2,3,58,13.2483502,77.7134377
Plot  Area,18-Oct,Thanisandra,4 BHK,Amais V,2805,2,1,190,13.054713,77.6339258
Super built-up  Area,21-Dec,Banashankari,3 BHK,Bhe 2ko,1800,1,3,85.73,12.9278196,77.556621
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bregae ,2050,3,2,80,13.054713,77.6339258
Super built-up  Area,Ready To Move,Bhuvaneshwari Nagar,3 BHK,Bhmesy ,530,2,1,100,12.9232498,77.5493787
Built-up  Area,Ready To Move,Old Airport Road,2 BHK,NaaveEn,2585.5,2,1,57,12.9572062,77.6741501
Super built-up  Area,18-Dec, Devarachikkanahalli,4 BHK,Jaades ,883,3,1,208,12.9004917,77.6039129
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Shireru,1295,3,2,65,12.9963995,77.7614229
Super built-up  Area,18-Dec,Haralur Road,3 BHK,Prtates,1275,2,1,113,12.9018012,77.6641767
Super built-up  Area,18-Mar,Yelahanka,4 BHK,SNnia E,1063,2,2,160,13.1006982,77.5963454
Plot  Area,Ready To Move,Ashirvad Colony,4 BHK,InllaPa,656,2,1,180,12.9398513,77.5740326
Built-up  Area,Ready To Move,Whitefield,4 BHK,VMowsea,700,3,2,100,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Sarjapur,1 BHK,UKe 2nz,1680,3,3,29.44,12.9116225,77.6388622
Built-up  Area,19-Jun,Kambipura,4 BHK,Caonand,1253,3,2,139.5,12.882271,77.4606466
Super built-up  Area,Ready To Move,Ramagondanahalli,2 BHK,Prrtht ,2100,2,1,37,12.9558969,77.7405826
Super built-up  Area,Ready To Move,Sompura,2 BHK,SVodsve,1070,2,1,95,12.8778283,77.4972385
Super built-up  Area,Ready To Move,Bellandur,3 BHK,Suiseit,1125,2,1,59,12.9361208,77.6671843
Super built-up  Area,Ready To Move,Balagere,2 BHK,MancyRe,1210,3,3,58,12.9377243,77.7280705
Super built-up  Area,Ready To Move,Marathahalli,1 BHK,Soresea,1500,2,1,43,12.9552572,77.6984163
Built-up  Area,Ready To Move,Hosa Road,2 BHK,Prityel,1652.5,2,2,32,12.8816077,77.6448181
Super built-up  Area,18-Dec,Rayasandra,3 BHK,SJerse ,1381,2,2,101,12.8795774,77.6719842
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,MJeusyl,1085,2,2,57,12.9945793,77.5503967
Super built-up  Area,18-Dec,Electronic City,3 BHK,DNionfl,905,1,1,145,12.8487599,77.648253
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GMown E,1200,4,2,58,12.8463512,77.6690975
Built-up  Area,18-Aug,Electronic City,2 BHK,Sryalan,1151,2,3,29.25,12.8487599,77.648253
Super built-up  Area,Ready To Move,Electronic City,2 BHK,DSgmax ,3532,3,0,54,12.8487599,77.648253
Built-up  Area,18-Apr,Coffee Board Layout,3 BHK,GMown E,1665,1,1,75,13.0503251,77.6060803
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,Sanstya,800,2,2,90,13.0176937,77.5555009
Super built-up  Area,Ready To Move,Whitefield,3 BHK,IBityin,1030,2,3,76.18,12.9963995,77.7614229
Super built-up  Area,18-Dec,Whitefield,2 BHK,BSlasin,1257,3,2,57,12.9963995,77.7614229
Super built-up  Area,18-Apr,Hennur Road,1 BHK,Prtates,1600,2,1,50,13.0351224,77.631944
Super built-up  Area,Ready To Move,Anandapura,2 BHK,ManceEl,1465,2,3,75,13.0239276,77.6923621
Super built-up  Area,Ready To Move,Brookefield,2 BHK,ViensRK,1650,3,2,42.9,12.9652094,77.717936
Built-up  Area,Ready To Move,Kanakpura Road,4 BHK,Goodsrb,1300,2,2,170,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Kengeri Satellite Town,3 BHK,PuandHi,1000,2,3,86.91,12.9229728,77.4842926
Built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,Malowr ,1146,4,2,40,13.0189644,77.5443026
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Ahntyve,2159,3,1,46.5,12.9959233,77.7192796
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Keers S,1255,2,1,71.03,12.9963995,77.7614229
Super built-up  Area,18-Dec,Choodasandra,3 BHK,BSlasin,1130,1,2,82,12.8883623,77.6799727
Super built-up  Area,Ready To Move,Jakkur,3 BHK,GRlpank,1200,5,3,75,13.0784743,77.6068938
Super built-up  Area,Ready To Move,Koramangala,3 BHK,HRaniIb,1040,2,3,111,12.9357366,77.624081
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Jainaht,1180,3,1,82,13.007516,77.695935
Built-up  Area,Ready To Move,Mahadevpura,2 BHK,Hoston ,1374,2,1,44.5,12.9968412,77.6928386
Super built-up  Area,Ready To Move,Vishwanatha Nagenahalli,2 BHK,Neisei ,630.5,2,2,53.8,13.0395765,77.6048698
Super built-up  Area,Ready To Move,Whitefield,3 BHK,PrBayGa,2384,3,1,110,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,SSthamh,1200,2,3,40,13.0514799,77.5933559
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Vrensn ,2017,2,2,60,12.9181023,77.5576638
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shers S,905,2,1,60,12.9239386,77.6396966
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,ARineun,1303,1,2,37,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shony S,1380,3,2,41.3,12.9239386,77.6396966
Built-up  Area,Ready To Move,Whitefield,3 BHK,MJinele,1620,2,2,51,12.9963995,77.7614229
Super built-up  Area,19-Dec,Jalahalli,1 BHK,Goted U,1000,2,1,32.15,13.0394104,77.5197351
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Tahtsla,1760,5,1,165,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Neite T,1322,4,2,54,12.9018012,77.6641767
Built-up  Area,Ready To Move,Whitefield,3 BHK,NDionas,1500,2,1,105,12.9963995,77.7614229
Built-up  Area,18-Mar,Raja Rajeshwari Nagar,1 BHK,Prtates,1256,2,2,52,12.932582,77.5162034
Super built-up  Area,Ready To Move,Gottigere,2 BHK,GrrvaGr,941,2,3,55.79,12.8565317,77.5877237
Super built-up  Area,Ready To Move,Harlur,3 BHK,SMshi M,5000,3,3,95,12.9058923,77.675465
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Shodsir,1665,3,3,110,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Kothanur,2 BHK,Maager ,1414,2,1,38.5,13.0613601,77.6493895
Super built-up  Area,15-Oct,Yelahanka,3 BHK,Somumys,712,2,2,111,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,PuziaVe,2648,3,2,75,13.0621474,77.5800614
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,HoAcela,1200,2,2,125,12.9846713,77.6790908
Super built-up  Area,Ready To Move,Brookefield,3 BHK,Mancya ,1680,4,3,50,12.9652094,77.717936
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Neestna,1380,3,1,48,13.2483502,77.7134377
Plot  Area,Ready To Move,Kanakpura Road,4 BHK,Soacyst,1088,2,2,465,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,PuandHi,1414,7,2,86.58,13.0351224,77.631944
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,ChionCo,1070,3,2,84.18,12.8856913,77.5526564
Super built-up  Area,21-Mar,Rajaji Nagar,1 BHK,GolusLi,1265,2,1,38.44,12.9945793,77.5503967
Super built-up  Area,17-Dec,Hebbal,4 BHK,ProdsWe,1035,2,1,251.5,13.0382184,77.5919
Super built-up  Area,Ready To Move,Wilson Garden,2 BHK,Thuse F,614.5,2,2,49,12.9489339,77.5968273
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,SaageWi,1650,3,3,135,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Suitea ,1130,2,1,42,13.0382184,77.5919
Super built-up  Area,18-May,Harlur,2 BHK,Arcia S,1850,3,1,62,12.9058923,77.675465
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Zonce E,4334,2,2,77.5,12.8487599,77.648253
Super built-up  Area,Ready To Move,Shikaripalya,2 BHK,GMown E,2582,2,2,52,12.8359685,77.6571728
Super built-up  Area,Ready To Move,Friends Colony,2 BHK,Maenara,1090,2,1,58,12.9354363,77.6147873
Built-up  Area,Ready To Move,Sonnenahalli,2 BHK,SiidsGa,1100,2,2,44,12.9433048,77.4801187
Super built-up  Area,Ready To Move,Vittasandra,1 BHK,Skacak ,1365,2,1,30.715,12.8654221,77.6295788
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Prlla C,1484,2,2,84,12.9552572,77.6984163
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Thowsil,1630,2,1,58,12.9096941,77.5866067
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,SuncyRe,1451,2,2,110,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Banashankari,4 BHK,Klark L,1330,2,1,338,12.9278196,77.556621
Super built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,PrdgeSo,2127,2,3,250,12.9164567,77.5859615
Built-up  Area,Ready To Move,JP Nagar,2 BHK,CMhidal,1173,1,2,45,12.9096941,77.5866067
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,DSillto,1500,3,2,45,13.079198,77.7136366
Super built-up  Area,18-Aug,Vijayanagar,3 BHK,DSOakil,2336.5,1,2,34.13,12.9709537,77.5373851
Super built-up  Area,20-Feb,Green Glen Layout,3 BHK,Saahaat,1197,3,2,79.19,12.9269039,77.6701877
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Prodsm ,3930,2,2,68,12.9963995,77.7614229
Super built-up  Area,18-May,Kanakpura Road,3 BHK,SMuilan,1450,2,1,52.43,12.8856913,77.5526564
Super built-up  Area,19-Jul,Thanisandra,2 BHK,Soazak ,1187,2,2,107,13.054713,77.6339258
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,NRncyrk,1370,2,2,135,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,MJinele,1036,2,3,45.75,12.9504037,77.6033713
Plot  Area,18-Dec,Thanisandra,3 BHK,Putere ,2010,2,1,239,13.054713,77.6339258
Super built-up  Area,18-Nov,JP Nagar,3 BHK,Bhe 2ko,1265,5,0,115.89,12.9096941,77.5866067
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,MBncyh ,1576,5,3,47.88,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Kanakpura Road,5 BHK,Maana E,1000,4,1,329,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Whitefield,3 BHK,JRrnauv,1210,3,3,62.4,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Panathur,2 BHK,SMuilan,1126,2,3,37.85,12.9351457,77.7047541
Super built-up  Area,18-May,Yelahanka,3 BHK,Saite G,1440,2,1,54.8,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Pyikad ,1300,2,1,39.37,13.0082277,77.6941931
Super built-up  Area,Ready To Move,Thanisandra,4 BHK,Brglede,1276,3,1,115,13.054713,77.6339258
Super built-up  Area,Ready To Move,Anandapura,2 BHK,MenueNo,1216,2,2,46.6,13.0239276,77.6923621
Super built-up  Area,Ready To Move,Green View Layout,3 BHK,ViensRK,1126,2,2,58,13.0084501,77.6581724
Super built-up  Area,Ready To Move,Kudlu,2 BHK,Makeser,1162,2,2,36,12.8889126,77.6555716
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,Keids O,1301,3,3,75,12.9116225,77.6388622
Built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,SruntFa,658,2,2,69,13.0766407,77.5577315
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,DSestil,2500,2,2,70,13.0120218,77.6777817
Built-up  Area,Ready To Move,Thanisandra,3 BHK,SamesHo,1208.51,2,2,52,13.054713,77.6339258
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Bhmesy ,1133,1,3,75,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Sompura,2 BHK,Prtates,1075,4,2,83,12.8778283,77.4972385
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Suiseit,1145,3,2,39,12.932582,77.5162034
Super built-up  Area,18-May,Whitefield,2 BHK,Cee 2du,1302.5,1,1,65,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Nillsre,3317.5,2,2,65,13.2483502,77.7134377
Super built-up  Area,19-Dec,Whitefield,1 BHK,Sabixtt,2475,1,2,34,12.9963995,77.7614229
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,Toindls,2040,2,1,280,12.9150543,77.5988508
Built-up  Area,Ready To Move,Chandapura,1 BHK,Opamaan,1216,2,1,63,12.8009043,77.7114908
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Vailsaf,1459,2,0,42,12.932582,77.5162034
Super built-up  Area,Ready To Move,Shettigere,2 BHK,GrrvaGr,1622,3,2,38.41,13.1954297,77.649453
Super built-up  Area,Ready To Move,Sarjapur,3 BHK,Prityel,1274,2,1,52,12.9116225,77.6388622
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,CMDewun,1430,2,3,57,12.9504037,77.6033713
Super built-up  Area,Ready To Move,Rahat Bagh,2 BHK,SNity S,1410,2,3,67.73,12.9914863,77.6613684
Super built-up  Area,Ready To Move,Malleshwaram,4 BHK,SNtua S,1083,2,2,268.5,13.0027353,77.5703253
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,Sariaat,900,2,2,326,12.913332,77.5783216
Super built-up  Area,Ready To Move,Thubarahalli,3 BHK,SGncy R,693,2,1,200,12.9547872,77.7213154
Built-up  Area,Ready To Move,Tumkur Road,2 BHK,ShdhiSa,1920,3,1,80,13.0184718,77.5577542
Super built-up  Area,Ready To Move,Jakkur,3 BHK,Soire A,1075,5,2,110,13.0784743,77.6068938
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Soral C,705,2,2,80,12.8856913,77.5526564
Super built-up  Area,20-Jan,Malleshpalya,2 BHK,DNncasa,1532,1,1,81,12.9744129,77.6743533
Super built-up  Area,Ready To Move,Begur Road,3 BHK,KencyRe,1330,2,3,69.5,12.8856188,77.6252418
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,ISeekon,1530,3,3,75,13.0394104,77.5197351
Super built-up  Area,19-Dec,Arekere,2 BHK,DSata S,1630,2,3,32.49,12.8872086,77.5960493
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Chiteny,1200,3,1,50,13.054713,77.6339258
Built-up  Area,21-Dec,Electronic City,1 BHK,Bhe 2ko,1595,2,2,34.3,12.8487599,77.648253
Super built-up  Area,18-Aug,Electronic City,3 BHK,DNionfl,1000,3,2,150,12.8487599,77.648253
Super built-up  Area,Ready To Move,Nagavarapalya,3 BHK,Prityel,1000,3,1,50,12.9933837,77.6640524
Super built-up  Area,Ready To Move,Mahadevpura,1 BHK,PuonsSe,1000,3,0,55,12.9968412,77.6928386
Super built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,3Codeli,883,2,1,62,13.0189644,77.5443026
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,PuoodSk,1776,3,2,93,12.9239386,77.6396966
Built-up  Area,Ready To Move,Harlur,3 BHK,Nauha G,1347,3,1,60,12.9058923,77.675465
Super built-up  Area,18-Jul,Banashankari,3 BHK,Shodsir,1330,3,1,95.1,12.9278196,77.556621
Built-up  Area,Ready To Move,Brookefield,6 BHK,Giaver ,1459,3,1,180,12.9652094,77.717936
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Saowson,2259,2,1,75,12.9136133,77.595695
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Hiestre,1200,3,2,53,12.8463512,77.6690975
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,2328,3,0,28.88,12.8463512,77.6690975
Super built-up  Area,18-Aug,Mysore Road,2 BHK,Sryalan,660,2,2,28.88,12.9466619,77.5300896
Built-up  Area,Ready To Move,BTM Layout,2 BHK,PrawnRa,1800,3,2,50,12.9140008,77.6102821
Super built-up  Area,Ready To Move,Anjanapura,3 BHK,Raide P,3100,2,2,75,12.8580811,77.5580713
Super built-up  Area,19-Dec,Whitefield,3 BHK,DSapeto,1405,4,2,37.72,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Harlur,3 BHK,KKdenng,602,2,1,55,12.9058923,77.675465
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,SomonCi,1710,1,1,135,13.054713,77.6339258
Super built-up  Area,19-Dec,NTI Layout,4 BHK,Bhe 2ko,1500,2,1,135,13.0783856,77.558004
Super built-up  Area,Ready To Move,Vasanth nagar,2 BHK,Vaent V,1539,3,2,52.5,12.9921738,77.591459
Super built-up  Area,18-May,Electronic City,4 BHK,Dheusag,1100,2,2,528,12.8487599,77.648253
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,Itelaa ,1151,2,3,15.5,12.9945793,77.5503967
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1350,2,2,250,12.9945793,77.5503967
Super built-up  Area,Ready To Move,Yelahanka,4 BHK,Brway G,1200,3,0,550,13.1006982,77.5963454
Super built-up  Area,19-Aug,Yelahanka,2 BHK,SMllay ,1700,2,1,50.58,13.1006982,77.5963454
Super built-up  Area,18-May,Marathahalli,1 BHK,Prensya,1560,3,0,26,12.9552572,77.6984163
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Asintas,1243,3,2,100,12.9096941,77.5866067
Super built-up  Area,Ready To Move,Glass Factory Layout,3 BHK,Adaveth,1403,5,1,82,12.876373,77.5670619
Built-up  Area,Ready To Move,Judicial Layout,3 BHK,VMlet C,1416,3,3,60,13.0837692,77.5860438
Super built-up  Area,20-Dec,Raja Rajeshwari Nagar,3 BHK,PrarePa,1680,2,2,53,12.932582,77.5162034
Super built-up  Area,Ready To Move,Kathriguppe,2 BHK,GrrvaGr,1595,3,1,49,12.925021,77.5508875
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Prone M,1507,2,2,78.3,12.9504037,77.6033713
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shissut,2560,3,1,65,12.9239386,77.6396966
Super built-up  Area,18-Apr,R.T. Nagar,3 BHK,PualeSk,1949,4,0,93.5,13.0333764,77.5886107
Built-up  Area,Ready To Move,Haralur Road,3 BHK,SiineSu,1000,1,3,125,12.9018012,77.6641767
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,RInceeg,2480,3,1,46,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Arldsyo,1100,3,3,56,13.0184718,77.5577542
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Sahtsva,3526,4,2,94,12.9136133,77.595695
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,Eladero,1425,2,1,125,12.8505644,77.6466948
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Prora F,550,1,1,62,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Niacesa,1385,2,1,95,12.9975851,77.6136744
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Prook M,1783,3,2,288,13.0351224,77.631944
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,SaireSa,1520,2,1,133,12.8463512,77.6690975
Built-up  Area,18-Dec,Hosakerehalli,2 BHK,Sryalan,1060,1,1,28.88,12.9301881,77.5378332
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Taonte ,1267,4,2,245,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,Rarthne,2500,2,1,60,12.9945793,77.5503967
Super built-up  Area,Ready To Move,Gottigere,4 BHK,PhestOn,1240,3,2,598,12.8565317,77.5877237
Super built-up  Area,Ready To Move,Jalahalli West,3 BHK,Apentir,1570,5,1,47,13.0533332,77.5306036
Super built-up  Area,Ready To Move,Uttarahalli,1 BHK,Prntsax,1355,2,1,23,12.9055682,77.5455438
Super built-up  Area,Ready To Move,HBR Layout,3 BHK,Shony S,4075,2,1,48.48,13.031992,77.6280789
Built-up  Area,Ready To Move,Haralur Road,3 BHK,Giersin,1550,4,1,125,12.9018012,77.6641767
Super built-up  Area,18-Mar,Sarjapur  Road,3 BHK,SNnia E,1750,3,2,90,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,SavanBr,1466,3,2,55,12.932582,77.5162034
Super built-up  Area,Ready To Move,Karuna Nagar,2 BHK,GrrvaGr,1550,3,1,54.35,12.9827061,77.6251679
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,CoinoCu,2300,4,1,180,12.9504037,77.6033713
Super built-up  Area,Ready To Move,Gollahalli,2 BHK,MNikaas,540,2,3,65,12.821532,77.5852714
Super built-up  Area,Ready To Move,Whitefield,3 BHK,MJlese ,950,3,2,78,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veale R,2880,2,2,76,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,4 BHK,UKe 2nz,1987,2,2,226,12.932582,77.5162034
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1305,3,1,52.45,12.932582,77.5162034
Super built-up  Area,Ready To Move,9th Phase JP Nagar,3 BHK,Sorisa ,497,2,1,150,12.9107357,77.5829631
Super built-up  Area,18-Mar,Rachenahalli,2 BHK,HMigond,1232,1,0,71,13.0588586,77.6232576
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,Sovar S,1732,2,3,72.5,13.0195427,77.6831272
Super built-up  Area,Ready To Move,Kengeri,3 BHK,DLhtsnd,1614,3,1,102,12.9176571,77.4837568
Super built-up  Area,19-Aug,8th Phase JP Nagar,1 BHK,VBn 2lm,600,4,1,22.5,12.9104062,77.5951099
Plot  Area,Ready To Move,Cunningham Road,3 BHK,Hincy V,2072,2,1,130,12.9884255,77.5938978
Super built-up  Area,Ready To Move,Hebbal,3 BHK,LeDuvMy,919,1,2,501,13.0382184,77.5919
Super built-up  Area,Ready To Move,Hoodi,3 BHK,Prersis,2849,4,2,165,12.9959233,77.7192796
Super built-up  Area,Ready To Move,Marsur,2 BHK,Keers S,1000,2,3,75,12.7678915,77.7043732
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Asara S,1216,4,2,17,13.0351224,77.631944
Super built-up  Area,19-Mar,Thanisandra,2 BHK,Puachal,2245,3,1,89,13.054713,77.6339258
Super built-up  Area,21-Nov,Yelahanka,3 BHK,Bhe 2ko,1476,6,2,85.73,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Magadi Road,3 BHK,PuziaVe,1852,2,2,100,12.975608,77.5553564
Built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Jaaveha,1597,2,3,22,13.0170955,77.4829741
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Prtanha,2423,3,1,155,12.8487599,77.648253
Super built-up  Area,Ready To Move,Marsur,2 BHK,Itvir M,1152,2,2,34,12.7678915,77.7043732
Super built-up  Area,Ready To Move,Doctors Layout,4 BHK,SoliaMa,1400,2,3,250,13.0053365,77.6581854
Built-up  Area,Ready To Move,Whitefield,2 BHK,Mavelr ,1530,5,2,42,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Lingadheeranahalli,2 BHK,Prtates,1185,2,1,75,13.0026688,77.4915418
Super built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,Soiewre,1890,3,1,154,12.9504037,77.6033713
Super built-up  Area,18-Feb,Ambedkar Nagar,3 BHK,Baanise,830,3,1,125,12.9490851,77.6184873
Super built-up  Area,Ready To Move,Panathur,3 BHK,SoechHa,1165,5,2,130,12.9351457,77.7047541
Super built-up  Area,Ready To Move,Jakkur,3 BHK,Skinaa ,1100,3,2,67.12,13.0784743,77.6068938
Super built-up  Area,19-Dec,Marathahalli,3 BHK,Ceezey ,1890,3,2,160,12.9552572,77.6984163
Super built-up  Area,19-Mar,Kammasandra,2 BHK,PrensKe,1685,2,1,90,13.079198,77.7136366
Plot  Area,Ready To Move,Rachenahalli,3 BHK,Daden G,3131,2,1,92,13.0588586,77.6232576
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Sovar S,827,2,2,74.4,12.932582,77.5162034
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,GrrvaGr,635,3,1,40.17,13.1006982,77.5963454
Super built-up  Area,18-May,Gunjur Palya,3 BHK,Miitat ,4000,2,0,108,12.9228378,77.7188315
Built-up  Area,18-Feb,Electronic City Phase II,2 BHK,BDectou,1050,5,3,40,12.8463512,77.6690975
Built-up  Area,18-Jul,Bommanahalli,2 BHK,Sryalan,2850,2,2,30.29,12.9089453,77.6239038
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,KancyRe,1751,3,2,55,12.9107357,77.5829631
Built-up  Area,Ready To Move,Maithri Layout,3 BHK,ImiteEl,4750,2,1,93,12.9848621,77.7559192
Super built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,ItAnuna,1020,3,1,60,12.9164567,77.5859615
Super built-up  Area,Ready To Move,Kachanayakanahalli,4 BHK,Sowerew,1856,2,1,349,12.7990299,77.6830517
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,ICoolon,1325,3,0,45,12.8401734,77.6595099
Built-up  Area,Ready To Move,Whitefield,1 BHK,Prmes H,1261,2,1,26,12.9963995,77.7614229
